Data;Ret_USD;ret_IBOV;ret_CVCB3;;;;;
22/12/2014;0,00;0,01;0,01;;;;;
23/12/2014;0,01;0,02;-0,01;;;;;
26/12/2014;0,00;-0,01;0,00;;;;;
29/12/2014;0,00;0,01;0,00;;;;;
30/12/2014;-0,01;-0,01;0,01;;;;;
02/01/2015;0,01;-0,03;-0,02;;;;;
05/01/2015;0,01;-0,02;-0,01;;;;;
06/01/2015;0,00;0,01;-0,01;;;;;
07/01/2015;-0,01;0,03;-0,01;;;;;
08/01/2015;0,00;0,01;-0,04;;;;;
09/01/2015;-0,01;-0,02;-0,01;;;;;
12/01/2015;0,00;-0,01;-0,04;;;;;
13/01/2015;0,00;0,00;0,03;;;;;
14/01/2015;-0,01;-0,01;-0,01;;;;;
15/01/2015;0,00;0,01;0,02;;;;;
16/01/2015;0,00;0,02;0,01;;;;;
19/01/2015;0,00;-0,03;0,01;;;;;
20/01/2015;0,00;0,00;-0,02;;;;;
21/01/2015;-0,01;0,03;0,01;;;;;
22/01/2015;-0,01;0,00;0,01;;;;;
23/01/2015;0,00;-0,01;0,00;;;;;
26/01/2015;0,00;0,00;-0,03;;;;;
27/01/2015;-0,01;0,00;-0,02;;;;;
28/01/2015;0,00;-0,02;-0,04;;;;;
29/01/2015;0,01;0,00;0,00;;;;;
30/01/2015;0,03;-0,02;-0,04;;;;;
02/02/2015;0,01;0,02;0,01;;;;;
03/02/2015;0,01;0,03;0,07;;;;;
04/02/2015;0,00;0,01;-0,02;;;;;
05/02/2015;0,01;0,00;0,03;;;;;
06/02/2015;0,01;-0,01;0,05;;;;;
09/02/2015;0,01;0,01;0,02;;;;;
10/02/2015;0,01;-0,02;-0,01;;;;;
11/02/2015;0,02;-0,01;0,00;;;;;
12/02/2015;0,00;0,03;0,00;;;;;
13/02/2015;-0,01;0,02;0,02;;;;;
18/02/2015;0,00;0,01;-0,02;;;;;
19/02/2015;0,00;0,00;0,00;;;;;
20/02/2015;0,01;0,00;0,00;;;;;
23/02/2015;0,00;0,00;-0,02;;;;;
24/02/2015;-0,01;0,01;0,00;;;;;
25/02/2015;0,00;0,00;0,01;;;;;
26/02/2015;0,00;0,00;-0,01;;;;;
27/02/2015;0,00;0,00;0,00;;;;;
02/03/2015;0,00;-0,01;-0,01;;;;;
03/03/2015;0,01;0,01;0,00;;;;;
04/03/2015;0,03;-0,02;0,01;;;;;
05/03/2015;0,00;0,00;0,00;;;;;
06/03/2015;0,01;-0,01;-0,01;;;;;
09/03/2015;0,02;-0,02;-0,03;;;;;
10/03/2015;0,01;-0,02;0,02;;;;;
11/03/2015;0,00;0,01;0,00;;;;;
12/03/2015;0,00;0,00;0,01;;;;;
13/03/2015;0,04;-0,01;-0,02;;;;;
16/03/2015;0,00;0,01;-0,02;;;;;
17/03/2015;0,01;0,03;0,00;;;;;
18/03/2015;-0,01;0,02;0,03;;;;;
19/03/2015;0,00;-0,01;0,02;;;;;
20/03/2015;-0,01;0,02;-0,01;;;;;
23/03/2015;-0,02;0,00;-0,01;;;;;
24/03/2015;-0,02;-0,01;-0,02;;;;;
25/03/2015;0,01;0,01;0,05;;;;;
26/03/2015;0,01;-0,02;-0,01;;;;;
27/03/2015;0,01;-0,01;0,00;;;;;
30/03/2015;0,01;0,02;-0,04;;;;;
31/03/2015;-0,02;0,00;0,04;;;;;
01/04/2015;-0,02;0,02;0,00;;;;;
02/04/2015;0,00;0,02;0,01;;;;;
06/04/2015;-0,02;0,01;0,04;;;;;
07/04/2015;0,01;0,00;-0,01;;;;;
08/04/2015;-0,01;0,00;0,06;;;;;
09/04/2015;-0,01;0,00;0,04;;;;;
10/04/2015;0,01;0,01;-0,02;;;;;
13/04/2015;0,01;0,00;0,02;;;;;
14/04/2015;0,00;0,00;0,01;;;;;
15/04/2015;-0,01;0,02;0,00;;;;;
16/04/2015;-0,01;0,00;-0,03;;;;;
17/04/2015;0,01;-0,01;0,00;;;;;
20/04/2015;0,00;0,00;0,04;;;;;
22/04/2015;-0,01;0,02;0,05;;;;;
23/04/2015;0,00;0,02;0,02;;;;;
24/04/2015;-0,01;0,02;0,05;;;;;
27/04/2015;-0,02;-0,02;-0,01;;;;;
28/04/2015;-0,01;0,00;-0,02;;;;;
29/04/2015;0,01;-0,01;-0,03;;;;;
30/04/2015;0,02;0,02;0,00;;;;;
04/05/2015;0,03;0,02;0,01;;;;;
05/05/2015;0,00;0,01;-0,01;;;;;
06/05/2015;-0,01;-0,02;0,00;;;;;
07/05/2015;0,00;0,00;0,00;;;;;
08/05/2015;-0,01;0,00;0,00;;;;;
11/05/2015;0,01;0,00;-0,02;;;;;
12/05/2015;0,01;-0,01;0,00;;;;;
13/05/2015;-0,01;-0,01;0,00;;;;;
14/05/2015;0,00;0,01;0,04;;;;;
15/05/2015;0,00;0,01;0,05;;;;;
18/05/2015;0,01;-0,02;0,02;;;;;
19/05/2015;0,00;-0,01;0,00;;;;;
20/05/2015;0,00;-0,01;0,00;;;;;
21/05/2015;0,00;0,00;0,02;;;;;
22/05/2015;0,01;-0,01;0,01;;;;;
25/05/2015;0,02;0,00;-0,01;;;;;
26/05/2015;0,00;-0,02;-0,01;;;;;
27/05/2015;0,01;0,01;-0,02;;;;;
28/05/2015;0,00;0,00;0,03;;;;;
29/05/2015;0,00;-0,02;0,02;;;;;
01/06/2015;0,00;0,01;-0,02;;;;;
02/06/2015;-0,01;0,02;0,02;;;;;
03/06/2015;-0,01;-0,01;0,01;;;;;
05/06/2015;0,02;-0,01;-0,01;;;;;
08/06/2015;-0,02;0,00;-0,03;;;;;
09/06/2015;-0,01;0,00;-0,02;;;;;
10/06/2015;0,00;0,02;0,01;;;;;
11/06/2015;0,02;0,00;0,00;;;;;
12/06/2015;-0,01;-0,01;-0,02;;;;;
15/06/2015;0,00;0,00;-0,01;;;;;
16/06/2015;0,00;0,01;0,00;;;;;
17/06/2015;0,00;-0,01;-0,01;;;;;
18/06/2015;-0,02;0,02;0,02;;;;;
19/06/2015;0,01;-0,01;0,01;;;;;
22/06/2015;0,00;0,00;-0,01;;;;;
23/06/2015;0,01;0,00;-0,01;;;;;
24/06/2015;-0,01;0,00;0,00;;;;;
25/06/2015;0,01;-0,01;-0,02;;;;;
26/06/2015;0,01;0,02;0,03;;;;;
